T5YIE,T5YIFR,T10YIE,T10Y2Y,SP500,DJIA,etz_time
1.68,1.86,1.77,0.34,3230.78,28538.44,2019-12-31 23:59:00
,,,,,,2020-01-01 23:59:00
1.72,1.88,1.8,0.3,3257.85,28868.8,2020-01-02 23:59:00
1.69,1.85,1.77,0.27,3234.85,28634.88,2020-01-03 23:59:00
,,,,,,2020-01-04 23:59:00
,,,,,,2020-01-05 23:59:00
1.69,1.81,1.75,0.27,3246.28,28703.38,2020-01-06 23:59:00
1.67,1.81,1.74,0.29,3237.18,28583.68,2020-01-07 23:59:00
1.68,1.82,1.75,0.29,3253.05,28745.09,2020-01-08 23:59:00
1.67,1.81,1.74,0.27,3274.7,28956.9,2020-01-09 23:59:00
1.67,1.85,1.76,0.27,3265.35,28823.77,2020-01-10 23:59:00
,,,,,,2020-01-11 23:59:00
,,,,,,2020-01-12 23:59:00
1.7,1.84,1.77,0.27,3288.13,28907.05,2020-01-13 23:59:00
1.7,1.84,1.77,0.24,3283.15,28939.67,2020-01-14 23:59:00
1.67,1.83,1.75,0.23,3289.29,29030.22,2020-01-15 23:59:00
1.68,1.8,1.74,0.23,3316.81,29297.64,2020-01-16 23:59:00
1.68,1.82,1.75,0.26,3329.62,29348.1,2020-01-17 23:59:00
,,,,,,2020-01-18 23:59:00
,,,,,,2020-01-19 23:59:00
,,,,,,2020-01-20 23:59:00
1.66,1.82,1.74,0.25,3320.79,29196.04,2020-01-21 23:59:00
1.64,1.8,1.72,0.24,3321.75,29186.27,2020-01-22 23:59:00
1.64,1.76,1.7,0.23,3325.54,29160.09,2020-01-23 23:59:00
1.62,1.74,1.68,0.21,3295.47,28989.73,2020-01-24 23:59:00
,,,,,,2020-01-25 23:59:00
,,,,,,2020-01-26 23:59:00
1.56,1.7,1.63,0.17,3243.63,28535.8,2020-01-27 23:59:00
1.59,1.71,1.65,0.2,3276.24,28722.85,2020-01-28 23:59:00
1.58,1.7,1.64,0.18,3273.4,28734.45,2020-01-29 23:59:00
1.59,1.69,1.64,0.16,3283.66,28859.44,2020-01-30 23:59:00
1.6,1.7,1.65,0.18,3225.52,28256.03,2020-01-31 23:59:00
,,,,,,2020-02-01 23:59:00
,,,,,,2020-02-02 23:59:00
1.56,1.7,1.63,0.18,3248.92,28399.81,2020-02-03 23:59:00
1.58,1.7,1.64,0.2,3297.59,28807.63,2020-02-04 23:59:00
1.61,1.71,1.66,0.22,3334.69,29290.85,2020-02-05 23:59:00
1.61,1.73,1.67,0.21,3345.78,29379.77,2020-02-06 23:59:00
1.61,1.71,1.66,0.18,3327.71,29102.51,2020-02-07 23:59:00
,,,,,,2020-02-08 23:59:00
,,,,,,2020-02-09 23:59:00
1.62,1.7,1.66,0.19,3352.09,29276.82,2020-02-10 23:59:00
1.6,1.7,1.65,0.18,3357.75,29276.34,2020-02-11 23:59:00
1.64,1.68,1.66,0.18,3379.45,29551.42,2020-02-12 23:59:00
1.65,1.69,1.67,0.17,3373.94,29423.31,2020-02-13 23:59:00
1.64,1.68,1.66,0.17,3380.16,29398.08,2020-02-14 23:59:00
,,,,,,2020-02-15 23:59:00
,,,,,,2020-02-16 23:59:00
,,,,,,2020-02-17 23:59:00
1.64,1.66,1.65,0.14,3370.29,29232.19,2020-02-18 23:59:00
1.65,1.65,1.65,0.14,3386.15,29348.03,2020-02-19 23:59:00
1.63,1.63,1.63,0.13,3373.23,29219.98,2020-02-20 23:59:00
1.6,1.62,1.61,0.12,3337.75,28992.41,2020-02-21 23:59:00
,,,,,,2020-02-22 23:59:00
,,,,,,2020-02-23 23:59:00
1.57,1.61,1.59,0.12,3225.89,27960.8,2020-02-24 23:59:00
1.52,1.54,1.53,0.13,3128.21,27081.36,2020-02-25 23:59:00
1.5,1.58,1.54,0.17,3116.39,26957.59,2020-02-26 23:59:00
1.48,1.58,1.53,0.19,2978.76,25766.64,2020-02-27 23:59:00
1.33,1.49,1.41,0.27,2954.22,25409.36,2020-02-28 23:59:00
,,,,,,2020-02-29 23:59:00
,,,,,,2020-03-01 23:59:00
1.32,1.5,1.41,0.26,3090.23,26703.32,2020-03-02 23:59:00
1.34,1.56,1.45,0.31,3003.37,25917.41,2020-03-03 23:59:00
1.34,1.58,1.46,0.35,3130.12,27090.86,2020-03-04 23:59:00
1.28,1.52,1.4,0.33,3023.94,26121.28,2020-03-05 23:59:00
1.14,1.48,1.31,0.25,2972.37,25864.78,2020-03-06 23:59:00
,,,,,,2020-03-07 23:59:00
,,,,,,2020-03-08 23:59:00
0.8,1.18,0.99,0.16,2746.56,23851.02,2020-03-09 23:59:00
0.77,1.23,1.0,0.26,2882.23,25018.16,2020-03-10 23:59:00
0.69,1.23,0.96,0.32,2741.38,23553.22,2020-03-11 23:59:00
0.63,1.21,0.92,0.38,2480.64,21200.62,2020-03-12 23:59:00
0.53,1.27,0.9,0.45,2711.02,23185.62,2020-03-13 23:59:00
,,,,,,2020-03-14 23:59:00
,,,,,,2020-03-15 23:59:00
0.3,1.16,0.73,0.37,2386.13,20188.52,2020-03-16 23:59:00
0.16,1.1,0.63,0.55,2529.19,21237.38,2020-03-17 23:59:00
0.16,1.1,0.63,0.64,2398.1,19898.92,2020-03-18 23:59:00
0.14,0.86,0.5,0.68,2409.39,20087.19,2020-03-19 23:59:00
0.31,1.19,0.75,0.55,2304.92,19173.98,2020-03-20 23:59:00
,,,,,,2020-03-21 23:59:00
,,,,,,2020-03-22 23:59:00
0.37,1.23,0.8,0.48,2237.4,18591.93,2020-03-23 23:59:00
0.55,1.39,0.97,0.46,2447.33,20704.91,2020-03-24 23:59:00
0.69,1.45,1.07,0.54,2475.56,21200.55,2020-03-25 23:59:00
0.72,1.42,1.07,0.53,2630.07,22552.17,2020-03-26 23:59:00
0.54,1.34,0.94,0.47,2541.47,21636.78,2020-03-27 23:59:00
,,,,,,2020-03-28 23:59:00
,,,,,,2020-03-29 23:59:00
0.57,1.33,0.95,0.47,2626.65,22327.48,2020-03-30 23:59:00
0.49,1.25,0.87,0.47,2584.59,21917.16,2020-03-31 23:59:00
0.56,1.26,0.91,0.39,2470.5,20943.51,2020-04-01 23:59:00
0.73,1.33,1.03,0.4,2526.9,21413.44,2020-04-02 23:59:00
0.78,1.38,1.08,0.39,2488.65,21052.53,2020-04-03 23:59:00
,,,,,,2020-04-04 23:59:00
,,,,,,2020-04-05 23:59:00
0.85,1.43,1.14,0.4,2663.68,22679.99,2020-04-06 23:59:00
0.86,1.48,1.17,0.47,2659.41,22653.86,2020-04-07 23:59:00
0.87,1.51,1.19,0.5,2749.98,23433.57,2020-04-08 23:59:00
0.9,1.56,1.23,0.5,2789.82,23719.37,2020-04-09 23:59:00
,,,,,,2020-04-10 23:59:00
,,,,,,2020-04-11 23:59:00
,,,,,,2020-04-12 23:59:00
0.94,1.58,1.26,0.51,2761.63,23390.77,2020-04-13 23:59:00
0.94,1.64,1.29,0.53,2846.06,23949.76,2020-04-14 23:59:00
0.87,1.51,1.19,0.43,2783.36,23504.35,2020-04-15 23:59:00
